,producto,pais_destino,año,totales_tn,totales_usd
0,Manzana,Paraguay,2013,5685,1473.41
1,Manzana,Brasil,2013,46162,49049.78
2,Manzana,Rusia,2013,22261,19407.3
3,Manzana,Estados Unidos,2013,7818,7836.46
4,Manzana,Bolivia,2013,8303,4631.93
5,Manzana,Otros,2013,73369,74995.17
6,Manzana,Paraguay,2014,5938,1689.98
7,Manzana,Brasil,2014,49601,52011.17
8,Manzana,Rusia,2014,12989,10977.06
9,Manzana,Estados Unidos,2014,9216,9510.52
10,Manzana,Bolivia,2014,8281,4237.87
11,Manzana,Otros,2014,58314,58838.1
12,Manzana,Paraguay,2015,11960,3639.47
13,Manzana,Brasil,2015,24058,22498.63
14,Manzana,Rusia,2015,16172,12821.07
15,Manzana,Estados Unidos,2015,13856,13598.58
16,Manzana,Bolivia,2015,9594,4734.92
17,Manzana,Otros,2015,30669,28304.08
18,Manzana,Paraguay,2016,13862,4306.62
19,Manzana,Brasil,2016,21928,20769.06
20,Manzana,Rusia,2016,9731,7380.69
21,Manzana,Estados Unidos,2016,10739,11924.85
22,Manzana,Bolivia,2016,8718,4332.06
23,Manzana,Otros,2016,25965,25039.04
24,Manzana,Paraguay,2017,12603,5269.15
25,Manzana,Brasil,2017,12120,12253.01
26,Manzana,Rusia,2017,10985,8729.69
27,Manzana,Estados Unidos,2017,10072,15070.09
28,Manzana,Bolivia,2017,7471,3972.93
29,Manzana,Otros,2017,24406,29811.59
